model,seed,run_dir,metrics_available,checkpoint_available_local,checkpoint_path,multiple_checkpoint_criteria_available,batch_size,learning_rate,alpha,temperature,selection_metric
R3,42,/home/mmy/code/outputs0535_student_kd_refinement/refined_candidates/R3_confidence_a0.1_T8_bs12_lr1e-4_composite_seed42,True,False,/home/mmy/code/outputs0535_student_kd_refinement/refined_candidates/R3_confidence_a0.1_T8_bs12_lr1e-4_composite_seed42/best_model.pt,False,12,0.0001,0.1,8.0,composite
R3,43,/home/mmy/code/outputs0535_student_kd_refinement/refined_candidates/R3_confidence_a0.1_T8_bs12_lr1e-4_composite_seed43,True,False,/home/mmy/code/outputs0535_student_kd_refinement/refined_candidates/R3_confidence_a0.1_T8_bs12_lr1e-4_composite_seed43/best_model.pt,False,12,0.0001,0.1,8.0,composite
R3,44,/home/mmy/code/outputs0535_student_kd_refinement/refined_candidates/R3_confidence_a0.1_T8_bs12_lr1e-4_composite_seed44,True,False,/home/mmy/code/outputs0535_student_kd_refinement/refined_candidates/R3_confidence_a0.1_T8_bs12_lr1e-4_composite_seed44/best_model.pt,False,12,0.0001,0.1,8.0,composite
R3,45,/home/mmy/code/outputs0535_student_kd_refinement/refined_candidates/R3_confidence_a0.1_T8_bs12_lr1e-4_composite_seed45,True,False,/home/mmy/code/outputs0535_student_kd_refinement/refined_candidates/R3_confidence_a0.1_T8_bs12_lr1e-4_composite_seed45/best_model.pt,False,12,0.0001,0.1,8.0,composite
