model,class_index,class_name,n_seeds,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,support_mean,support_sd
TRI_T,0,normal,4,0.9581246545440919,0.021436849934029563,0.9683908045977011,0.02369600934263027,0.9628416490338028,0.003422565056502974,87.0,0.0
TRI_T,1,benign,4,0.31383053221288515,0.09283107673742223,0.19318181818181818,0.07762841489363331,0.23725804424333835,0.08370970541325844,22.0,0.0
TRI_T,2,malignant,4,0.8370808409460644,0.006085716369412941,0.8919491525423728,0.022287759658276122,0.86349998760474,0.008717302747213544,118.0,0.0
TRI_T,-1,macro,4,0.7030120092343471,0.037744880211781386,0.6845072584406308,0.023002653514885105,0.6878665602939604,0.03026146750442071,227.0,0.0
TRI_S0,0,normal,4,0.8792212225391949,0.0429121212534023,0.896551724137931,0.036348019082395155,0.886502574002574,0.006382198472744207,87.0,0.0
TRI_S0,1,benign,4,0.15628186246742948,0.02164412660537065,0.6590909090909091,0.1363636363636364,0.2521938066565209,0.03705217215833561,22.0,0.0
TRI_S0,2,malignant,4,0.853338510812591,0.027007029600335963,0.3283898305084746,0.051953599315676606,0.47216773417660013,0.05294224326596075,118.0,0.0
TRI_S0,-1,macro,4,0.6296138652730718,0.013392179899647989,0.6280108212457716,0.029117877339070546,0.5369547049452317,0.009509556809101314,227.0,0.0
TRI_SKD,0,normal,4,0.8888443256090315,0.03394512215369455,0.9281609195402298,0.030229375168696324,0.907407466273348,0.016295135328316245,87.0,0.0
TRI_SKD,1,benign,4,0.16745958959073715,0.018110123987139546,0.6704545454545454,0.11954343816711742,0.2656477023274282,0.020325628504387558,22.0,0.0
TRI_SKD,2,malignant,4,0.8559873657444808,0.022882692354473856,0.336864406779661,0.13298605785148487,0.47212367506113173,0.14594438426589043,118.0,0.0
TRI_SKD,-1,macro,4,0.6374304269814164,0.016231064472768262,0.6451599572581455,0.029584244374672174,0.5483929478873026,0.055076505719724014,227.0,0.0
